"Data generated on Tuesday, September 24, 2019 at 12:13:03 PM EST"
Area/Partners of Origin,,,,,January 1999 - December 2019
And Consumption Commodities Imported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2006-2006","DOZ","284,988.0","305,414.0","266,803.0","455,604.0","321,513.0","382,500.0","315,930.0","200,145.0","235,868.0","198,638.0","212,857.0","258,064.0","3,438,324.0","-17","US","R00","0407000090",
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2007-2007","DOZ","216,025.0","124,842.0","246,560.0","193,444.0","274,944.0","310,132.0","265,250.0","244,212.0","288,100.0","61,700.0","261,860.0","274,741.0","2,761,810.0","-14","US","R00","0407000090",
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2008-2008","DOZ","327,757.0","530,169.0","339,325.0","472,564.0","472,562.0","326,720.0","174,773.0","124,006.0","52,650.0","81,644.0","63,773.0","64,814.0","3,030,757.0","-47","US","R00","0407000090",
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2009-2009","DOZ","129,716.0","172,298.0","332,817.0","274,804.0","350,070.0","380,313.0","163,894.0","151,148.0","122,180.0","143,208.0","149,418.0","235,477.0","2,605,343.0","-57","US","R00","0407000090",
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2010-2010","DOZ","236,736.0","284,556.0","240,896.0","266,252.0","300,190.0","180,456.0","342,794.0","251,361.0","113,018.0","160,102.0","129,866.0","306,610.0","2,812,837.0","90","US","R00","0407000090",
"1","World Total","252","0407000090","OTH EG,IS,F/P/C","2011-2011","DOZ","303,296.0","252,544.0","270,764.0","352,624.0","446,143.0","320,164.0","508,947.0","371,282.0","208,261.0","95,742.0","272,997.0","309,353.0","3,712,117.0","59","US","R00","0407000090",
"1","World Total","253","0407210030","TBL EG,CHKN,IS,F","2012-2012","DOZ","65,357.0","2,732.0","2,867.0","3,580.0","2,769.0","2,378.0","2,437.0","4,342.0","2,497.0","4,019.0","6,826.0","2,872.0","102,676.0","2","US","R00","0407210030",
"1","World Total","253","0407210030","TBL EG,CHKN,IS,F","2013-2013","DOZ","3,912.0","2,849.0","2,692.0","2,062.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,515.0","","US","R00","0407210030",
"1","World Total","253","0407210030","TBL EG,CHKN,IS,F","2014-2014","DOZ","18,000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18,000.0","","US","R00","0407210030",
"1","World Total","253","0407210030","TBL EG,CHKN,IS,F","2015-2015","DOZ","0.0","0.0","0.0","0.0","0.0","1,028,755.0","2,900,190.0","4,235,850.0","2,724,270.0","2,595,935.0","2,311,660.0","83,790.0","15,880,450.0","182","US","R00","0407210030",
"1","World Total","254","0407210090","FRSH EG,CHKN,IS","2012-2012","DOZ","0.0","0.0","1,020.0","24,852.0","4,457.0","0.0","0.0","0.0","0.0","1,267.0","400.0","6,000.0","37,996.0","","US","R00","0407210090",
